id,text,author,trackType,presentationMode,categories
18e284a4-73b9-4745-bb1c-da42853f1424,"Never rebel for the sake of rebelling, but always rebel for the sake of truth.","Criss Jami, Killosophy",hope,textOverlay,Resilience|Growth
206e35f0-a0bd-463a-99f7-a8748004b65a,"What a hundred caring, courageous and conscientious women can achieve in ten years, would take a thousand men a hundred years.","Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality",hope,textOverlay,Agency|Resilience|Growth
975e9731-2359-440b-9cba-333b433fd9e1,You can have what you desire if it is a holy dream.,Lailah Gifty Akita,hope,textOverlay,Possibility|Agency|Connection
4bcce15e-db0f-46d0-89e0-cdd854114402,Your crown has been bought and paid for. Put it on your head and wear it.,Maya Angelou,hope,textOverlay,Agency|Growth|Self-Worth
5d49fd54-9ae5-423d-ab1c-fd0f0ba9106f,Life doesn't revolve around youIt revolves around those you love,Richard L.  Ratliff,hope,textOverlay,Connection|Growth
d1762a24-d828-42b4-bf3a-86015eca5c24,"Confidence is this: Wearing your triumphs with humility, and wearing your scars with pride. Many of us do precisely the opposite.",Umair Haque,hope,textOverlay,Self-Worth|Resilience|Growth
204e1543-661f-4bcd-b663-c2d85195456a,The Hot Air Balloon CharmLife Can Be Filled with Adventure If You Let Yourself Soar,"Viola Shipman, The Charm Bracelet",hope,textOverlay,Possibility|Growth|Connection
1f2560af-ea1e-429e-a7e3-250a9eb5c3d8,"True confidence is not about what you take from someone to restore yourself, but what you give back to your critics because they need it more than you do.",Shannon L. Alder,hope,textOverlay,Self-Worth|Growth|Connection
b68a3adf-80cf-4b17-91de-315618cf4977,All joy lies in the present moment. The journey of life and prosperity are made of the present moment.,Matthew Donnelly,hope,textOverlay,Mindfulness|Growth
2f64ce60-c138-4576-94ed-d5a31136e879,As you grow and develop your talent and skill – you must begin to create a demand for what you possess as a personal brand.,"Archibald Marwizi, Making Success Deliberate",hope,textOverlay,Purpose|Growth
